Date,"Antipiretico","Polmonite","Tonsillite","Pagina principale","Influenza"
2017-11-08,98,596,326,732238,300
2017-11-09,113,552,365,920500,264
2017-11-10,111,525,293,751293,211
2017-11-11,79,489,225,703545,213
2017-11-12,98,513,242,706927,287
2017-11-13,90,652,276,737222,264
2017-11-14,107,664,318,718764,233
2017-11-15,103,621,353,701496,269
2017-11-16,109,575,310,730728,241
2017-11-17,93,555,292,722405,236
2017-11-18,77,527,278,876111,182
2017-11-19,82,511,253,1287569,197
2017-11-20,118,621,331,731583,284
2017-11-21,100,668,303,729769,274
2017-11-22,101,646,312,722433,254
2017-11-23,79,635,296,735436,251
2017-11-24,79,577,313,712975,238
2017-11-25,75,598,224,694646,199
2017-11-26,96,623,249,702717,223
2017-11-27,105,682,327,756563,284
2017-11-28,118,655,303,769196,312
2017-11-29,91,674,323,768995,302
2017-11-30,99,614,296,779973,237
2017-12-01,87,617,300,752790,255
2017-12-02,92,635,272,705830,218
2017-12-03,78,598,273,677288,239
2017-12-04,111,631,354,738227,267
2017-12-05,102,753,349,735283,237
2017-12-06,97,680,316,713447,278
2017-12-07,108,694,320,700325,280
2017-12-08,102,575,293,686813,206
2017-12-09,102,578,258,671233,229
2017-12-10,104,572,342,686958,219
2017-12-11,118,796,382,741867,268
2017-12-12,116,753,372,764173,298
2017-12-13,98,730,364,716194,278
2017-12-14,112,673,350,701502,241
2017-12-15,113,688,317,674535,285
2017-12-16,102,641,333,619233,280
2017-12-17,114,581,306,660902,252
2017-12-18,102,728,382,742145,372
2017-12-19,95,608,411,686767,357
2017-12-20,96,630,312,673677,304
2017-12-21,106,618,324,675951,299
2017-12-22,114,586,284,647101,298
2017-12-23,114,790,298,588295,289
2017-12-24,124,569,291,585949,354
2017-12-25,146,557,322,583164,344
2017-12-26,171,736,385,613805,563
2017-12-27,231,919,480,641199,661
2017-12-28,176,922,456,636303,698
2017-12-29,229,914,480,617823,729
2017-12-30,201,854,360,589299,630
2017-12-31,137,614,308,569660,512
2018-01-01,214,866,296,593241,528
2018-01-02,447,1321,456,654515,719
2018-01-03,234,1286,490,685084,890
2018-01-04,309,1243,483,714268,1047
2018-01-05,315,1073,450,694155,938
2018-01-06,243,1107,333,623674,859
2018-01-07,229,1077,427,645723,921
2018-01-08,198,1510,440,690924,853
2018-01-09,184,1368,452,713850,880
2018-01-10,217,1245,376,706721,818
2018-01-11,175,1138,389,688113,737
2018-01-12,162,1177,344,670198,726
2018-01-13,166,839,299,624733,696
2018-01-14,151,828,360,627936,659
2018-01-15,143,875,361,691212,597
2018-01-16,167,863,366,700452,662
2018-01-17,172,806,432,724143,651
2018-01-18,139,915,318,683737,916
2018-01-19,158,814,362,669099,845
2018-01-20,155,726,319,610760,672
2018-01-21,146,747,303,577823,611
2018-01-22,148,1063,404,670313,680
2018-01-23,146,912,381,661530,592
2018-01-24,132,865,418,653405,585
2018-01-25,127,833,373,695410,586
